latitude_bin,time,pH,year
40,8.0,8.031837182342723,2012
40,9.0,8.042811871187244,2012
40,10.0,8.06783832798839,2012
40,11.0,8.089829761149673,2012
40,12.0,8.10098233723127,2012
50,1.0,8.068066831222467,2012
50,2.0,8.062323972270036,2012
50,3.0,8.06611365538861,2012
50,4.0,8.077546257148342,2012
50,5.0,8.0860298508146,2012
50,6.0,8.082873457707766,2012
50,7.0,8.075276226882874,2012
50,8.0,8.067673853152826,2012
50,9.0,8.074550335621542,2012
50,10.0,8.085308050428026,2012
50,11.0,8.086400842674554,2012
50,12.0,8.077827585319085,2012
60,1.0,8.055957724644625,2012
60,2.0,8.060708257325663,2012
60,3.0,8.062146867796326,2012
60,4.0,8.080600939430848,2012
60,5.0,8.116056081762082,2012
60,6.0,8.116700542903528,2012
60,7.0,8.11908701055337,2012
60,8.0,8.121770766833368,2012
60,9.0,8.116843050013456,2012
60,10.0,8.093595741948368,2012
60,11.0,8.074540187996854,2012
60,12.0,8.063126148662105,2012
70,1.0,8.083282450771359,2012
70,2.0,8.086824497433625,2012
70,3.0,8.086241258418397,2012
70,4.0,8.097835996055036,2012
70,5.0,8.137095877619364,2012
70,6.0,8.160032033885171,2012
70,7.0,8.155409222777337,2012
70,8.0,8.147711983889362,2012
70,9.0,8.133487016300448,2012
70,10.0,8.114700100100517,2012
70,11.0,8.094960176030277,2012
70,12.0,8.087032440233386,2012
80,1.0,8.087244156366898,2012
80,2.0,8.087184406392167,2012
80,3.0,8.092506263750819,2012
80,4.0,8.102998548834954,2012
80,5.0,8.125796570282853,2012
80,6.0,8.14375142588361,2012
80,7.0,8.145375460653495,2012
80,8.0,8.137629463172052,2012
80,9.0,8.121943098429666,2012
80,10.0,8.109089918923297,2012
80,11.0,8.10489877158641,2012
80,12.0,8.1033962505489,2012
-80,1.0,,2013
-80,2.0,,2013
-80,3.0,,2013
-80,4.0,,2013
-80,5.0,,2013
-80,6.0,,2013
-80,7.0,,2013
-80,8.0,,2013
-80,9.0,,2013
-80,10.0,,2013
-80,11.0,,2013
-80,12.0,,2013
-70,1.0,8.114913569889506,2013
-70,2.0,8.100138023008112,2013
-70,3.0,8.075338544943685,2013
-70,4.0,8.05778794708943,2013
-70,5.0,8.05242475265036,2013
-70,6.0,8.053275153210999,2013
-70,7.0,8.052825333874985,2013
-70,8.0,8.052203977140307,2013
-70,9.0,8.052297433115534,2013
-70,10.0,8.049537854153847,2013
-70,11.0,8.053949124152094,2013
-70,12.0,8.072261768777503,2013
-60,1.0,8.078802250907072,2013
-60,2.0,8.07481484973942,2013
-60,3.0,8.072841173205186,2013
-60,4.0,8.05223515427143,2013
-60,5.0,8.047394941334499,2013
-60,6.0,8.045371668784442,2013
-60,7.0,8.044234634716727,2013
-60,8.0,8.043825476585617,2013
-60,9.0,8.048094824358131,2013
-60,10.0,8.051809580905704,2013
-60,11.0,8.05753092113257,2013
-60,12.0,8.073753411554085,2013
-50,1.0,8.070904101062014,2013
-50,2.0,8.069907918660247,2013
-50,3.0,8.066914395711924,2013
-50,4.0,8.062453880166617,2013
-50,5.0,8.041697165931053,2013
-50,6.0,8.038491284406225,2013
-50,7.0,8.035981826458192,2013
-50,8.0,8.045278334848232,2013
-50,9.0,8.053431968431237,2013
-50,10.0,8.056406083133567,2013
-50,11.0,8.063850840385639,2013
-50,12.0,8.074745225821802,2013
-40,1.0,8.081513136896728,2013
-40,2.0,8.081324130310591,2013
-40,3.0,8.079347995781138,2013
-40,4.0,8.078120024371378,2013
-40,5.0,8.074187978674736,2013
-40,6.0,8.068411057432918,2013
-40,7.0,8.06456046398822,2013
-40,8.0,8.064069413042214,2013
-40,9.0,8.063528443589137,2013
-40,10.0,8.070454009252476,2013
-40,11.0,8.078838799926691,2013
-40,12.0,8.082961975564722,2013
-30,1.0,8.065365916782289,2013
-30,2.0,8.062691834804054,2013
-30,3.0,8.067183487200282,2013
-30,4.0,8.077418403169714,2013
-30,5.0,8.087136027408642,2013
-30,6.0,8.091192246583375,2013
-30,7.0,8.092191939118631,2013
-30,8.0,8.090904161490945,2013
-30,9.0,8.09053134819708,2013
-30,10.0,8.090896336776666,2013
-30,11.0,8.084108220879212,2013
-30,12.0,8.07185303591617,2013
-20,1.0,8.055433972938426,2013
-20,2.0,8.052726146578971,2013
-20,3.0,8.054946492463902,2013
-20,4.0,8.063444851214385,2013
-20,5.0,8.073737566997416,2013
-20,6.0,8.083389364584397,2013
-20,7.0,8.089182248155282,2013
-20,8.0,8.090181539333447,2013
-20,9.0,8.090758512216857,2013
-20,10.0,8.082040804880041,2013
-20,11.0,8.070395446384843,2013
-20,12.0,8.058757076514462,2013
-10,1.0,8.053678532283541,2013
-10,2.0,8.05008567800776,2013
-10,3.0,8.05144918121197,2013
-10,4.0,8.053333182712857,2013
-10,5.0,8.059072194037284,2013
-10,6.0,8.063772657879236,2013
-10,7.0,8.06656876473457,2013
-10,8.0,8.068803021709321,2013
-10,9.0,8.06823032240282,2013
-10,10.0,8.065570801008858,2013
-10,11.0,8.060296909149772,2013
-10,12.0,8.054893614002111,2013
0,1.0,8.02742150240975,2013
0,2.0,8.026675266692582,2013
0,3.0,8.025909658974575,2013
0,4.0,8.026206850938546,2013
0,5.0,8.026289014934914,2013
0,6.0,8.026554385532409,2013
0,7.0,8.026336785410706,2013
0,8.0,8.026212404078333,2013
0,9.0,8.02694435812252,2013
0,10.0,8.027021347634635,2013
0,11.0,8.02579922346251,2013
0,12.0,8.026903602893439,2013
10,1.0,8.048920143493392,2013
10,2.0,8.046374620696644,2013
10,3.0,8.04397007403317,2013
10,4.0,8.039952785777992,2013
10,5.0,8.039820966800463,2013
10,6.0,8.042040740289977,2013
10,7.0,8.043345302774735,2013
10,8.0,8.044921584790766,2013
10,9.0,8.046566592304357,2013
10,10.0,8.048381702002985,2013
10,11.0,8.048427219329136,2013
10,12.0,8.048629730402432,2013
20,1.0,8.069336316054654,2013
20,2.0,8.071510777768353,2013
20,3.0,8.069296652279021,2013
20,4.0,8.062276024268888,2013
20,5.0,8.053792310282882,2013
20,6.0,8.051580110604624,2013
20,7.0,8.050438900743623,2013
20,8.0,8.049335997610784,2013
20,9.0,8.049732982619677,2013
20,10.0,8.052161517666535,2013
20,11.0,8.05688276762393,2013
20,12.0,8.063345020347295,2013
30,1.0,8.092051751628132,2013
30,2.0,8.094195510630634,2013
30,3.0,8.093255558388222,2013
30,4.0,8.085733218991038,2013
30,5.0,8.07179701291224,2013
